"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HML2_7p22.1",52182.6100946802,6.11142334348102,1.20182760692906,5.08510813717874,3.67416672045321e-07,0.00344434759208887
"HML2_19q11",1392.98762227265,5.75041367526733,1.12625432558136,5.10578609524899,3.29422166844529e-07,0.00344434759208887
"MER4_Xq21.33c",512.129468167246,-9.19572097733841,1.84501783950429,-4.98408241939225,6.22565400104057e-07,0.00389082622885032
"L1FLnI_11p14.3j",21.5319328024166,6.03838528016995,1.30119854177535,4.64063329792178,3.47343031471748e-06,0.0162808362426595
"HML2_11q22.1",102.723691894317,5.02475037247348,1.27574144621195,3.93869023178125,8.19276231704813e-05,0.259370897649163
"L1FLnI_11p14.3l",17.5009230661837,5.62273051495201,1.42869916950709,3.93555944803404,8.3003114080483e-05,0.259370897649163
"ERV316A3_3q13.12c",323.591263911118,-4.73477267006025,1.24910845287581,-3.79052167900987,0.000150331210259899,0.40265140873755
"HERVW_2p23.1a",11.5285110403356,-4.4001839692404,1.2290579129976,-3.58012744778529,0.000343426664069718,0.804863315580393
"L1FLnI_5p13.1c",15827.2081160235,3.78848690366298,3.60975213566884,1.04951441574839,0.293941423961778,0.999881585512955
"L1FLnI_6q26b",11434.4239624095,5.29272131371005,3.61729067522145,1.46317279669155,0.143420102443491,0.999881585512955
"L1FLnI_12q13.3b",6535.75127579875,2.54055412467837,3.60288584092615,0.705144219619598,0.480720490241871,0.999881585512955
"L1FLnI_7q22.1a",9550.95956781458,3.82618833073464,3.6052732392005,1.06127554747643,0.288564694980808,0.999881585512955
"L1FLnI_7q36.1m",9263.01457834852,2.66225287795678,1.74862616463632,1.52248258192481,0.127888206522681,0.999881585512955
"L1FLnI_12q23.2e",9225.35879090311,4.69559808698518,3.61185610157328,1.30005126309983,0.193583399986174,0.999881585512955
"L1FLnI_5p13.1d",3321.20632443147,3.34702992939683,3.61972071914879,0.924665240522731,0.355140065502442,0.999881585512955
"L1FLnI_10q23.33p",6979.45316748818,3.73920221880288,3.60610011648591,1.03691026261541,0.299777680647336,0.999881585512955
"L1FLnI_1q31.3h",4729.9074219858,2.02348923591395,3.60269439137766,0.561659973367927,0.574347710465058,0.999881585512955
"HML3_7q36.3",4536.53663844669,4.609152045914,3.63012168052207,1.26969629438183,0.20419283328703,0.999881585512955
"L1FLnI_1q31.3i",2598.30113141658,4.46358432742505,3.64719454509954,1.22384048128785,0.221012409904104,0.999881585512955
"L1FLnI_4q13.2y",6940.69820755625,6.32949806211241,3.66276829394892,1.728064009009,0.0839767492120975,0.999881585512955
"L1FLnI_7q22.2f",8011.7352370615,2.3641619257397,1.32259442706994,1.78751843902535,0.073853734619877,0.999881585512955
"L1FLnI_2q33.1s",2223.40313920742,4.55771113937785,3.63714497105275,1.25310131315955,0.2101688382168,0.999881585512955
"HML2_1q23.3",1874.07520434935,2.23661751590287,2.02786029035284,1.10294457983282,0.270051233034796,0.999881585512955
"HERVI_16q22.2",1774.37685152146,4.01428051856362,3.63246181584811,1.10511292948756,0.269110658802569,0.999881585512955
"MER4_22q12.3",4840.37987920901,2.37113744978604,1.0127501611715,2.3412856800173,0.0192174559559067,0.999881585512955
"L1FLnI_1p33c",4013.97339680977,4.94768299016449,3.6605949351421,1.35160624920999,0.176501310129797,0.999881585512955
"L1FLnI_1p22.2g",1465.18504648433,2.42043123236085,3.61190527789797,0.670125888176525,0.502777543100796,0.999881585512955
"L1FLnI_1q31.3j",1664.49974314923,5.11000329625213,3.67074847667691,1.39208756162944,0.163895884334575,0.999881585512955
"L1FLnI_4q23k",1897.07631498685,2.46187222170945,3.60473675699096,0.682954786347419,0.494635413150726,0.999881585512955
"HERVKC4_6p21.33a",834.794480348583,3.59574340244838,3.61319703146516,0.995169477649632,0.319653843958647,0.999881585512955
"L1FLnI_16p12.3h",1200.14645514415,5.14774949164828,3.6727977737594,1.40158805595745,0.161038295729273,0.999881585512955
"L1FLnI_12p12.1b",933.94166694507,4.86649862850465,3.64941267863557,1.33350186921697,0.182367162497274,0.999881585512955
"L1FLnI_11q12.3k",379.196316861867,3.74314811882723,3.6613977915311,1.02232762784891,0.306625861273859,0.999881585512955
"ERV316A3_1q32.2a",675.056275090154,4.04401488904306,3.66932630625103,1.10211372647718,0.270412232580075,0.999881585512955
"L1FLnI_11q12.3e",886.094444406008,4.7618523154021,3.65984183357713,1.30110877243781,0.193221225453754,0.999881585512955
"L1FLnI_1q23.2f",1212.03518896564,3.19210519051614,3.6213874955362,0.881459162945361,0.378069347781115,0.999881585512955
"HML2_7q22.2",2841.41461741935,2.37989627471116,1.39400398325503,1.70723778647608,0.0877778643492778,0.999881585512955
"L1FLnI_12p12.1h",643.714644222571,2.61160205313925,1.61040357332233,1.62170656871519,0.104866191671462,0.999881585512955
"L1FLnI_1q31.3k",453.326270853944,3.84010012968349,3.68045146772613,1.04337746696494,0.296773505367158,0.999881585512955
"L1FLnI_5p13.1s",487.536060588101,3.0233569528515,3.66286670032169,0.825407310778187,0.409140385735501,0.999881585512955
"HERVH_17q25.1c",1741.18350819303,4.09790022576269,1.63617263010727,2.50456470812252,0.0122602176616107,0.999881585512955
"HERVL_10p15.1",542.902162762266,4.80094483951319,3.67923968043402,1.30487417415188,0.191935696562279,0.999881585512955
"ERV316A3_6p21.33c",3105.65958032893,2.81089903323983,1.18093187845921,2.38023808528845,0.017301455503644,0.999881585512955
"L1FLnI_10p15.1c",1107.26827318705,4.62213443497543,3.65521754644458,1.26453059940888,0.206039644946245,0.999881585512955
"HML2_1q22",1926.3449618116,2.37111924475115,1.30612060517406,1.81539073448363,0.0694638839660001,0.999881585512955
"L1FLnI_14q32.13a",401.490593898349,4.08588073878613,3.68140101094092,1.10987114053674,0.26705455810286,0.999881585512955
"MER4_1p12a",351.304521193713,4.15994672211553,3.68080401629618,1.13017338160304,0.258403173639343,0.999881585512955
"L1FLnI_12p12.2g",402.492657689556,4.82683055086303,3.68159622344864,1.31107005165863,0.189834097710891,0.999881585512955
"HML6_14q24.2",310.9587123202,2.22605912712262,1.769792738613,1.2578078091038,0.20846127083853,0.999881585512955
"L1FLnI_14q32.13b",209.081362701436,3.46981975989038,3.67418258293413,0.944378696912621,0.344976163648358,0.999881585512955
"L1FLnI_1p22.2h",194.686972346901,2.25551958668776,3.64352362896281,0.619048980157108,0.535884092427709,0.999881585512955
