"Gene"	"SK_MEL_1316A_T"	"SK_MEL_1313A_T"	"SK_MEL_1306A_T"	"SK_MEL_1331A_T"	"SK_MEL_1313B_T"	"SK_MEL_1306B_T"	"SK_MEL_1331B_T"	"SK_MEL_1299A_T"	"SK_MEL_1058B_T"	"SK_MEL_1327A_T"	"SK_MEL_1330A_T"	"SK_MEL_1328A_T"	"SK_MEL_1299B_T"	"SK_MEL_1330B_T"	"SK_MEL_1327B_T"
"DDX11L1"	6.91054839286896	25.1577485042797	15.4352686291183	16.9258139352861	38.4220447977362	10.4213286806905	18.6005245720208	2.5619784630955	9.40313441634925	10.2268753038315	25.9617392768078	22.8766092708472	6.05032792039605	16.7829433413828	11.0205896056547
"WASH7P"	137.223746658398	218.033820370424	233.344943393142	261.013867528359	159.835706358583	183.117632532133	289.023535657554	223.74611911034	614.623058668647	267.944132960386	211.40273411115	257.881777235004	184.53500157208	302.092980144891	185.145905374999
"MIR6859-3"	30.6038571684197	67.8496853600271	87.1638699056094	48.1049448687079	16.9056997110039	69.971778284636	64.3864312108411	58.0715118301646	79.4992273382255	47.043626397625	50.0690686052723	35.3547597822184	52.1840783134159	67.1317733655313	37.4700046592259
"FAM138A"	0	1.52471203056241	0.907956978183431	0	0	0	1.43080958246314	0.853992821031833	0	2.0453750607663	0	0	2.26887297014852	2.23772577885104	2.93882389484125
"OR4G4P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CICP27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.15"	3.94888479592512	6.86120413753083	4.53978489091716	1.78166462476696	10.7581725433661	11.1657093007398	7.15404791231568	1.70798564206367	2.56449120445889	7.15881271268206	9.27204974171709	5.19922937973799	0.756290990049506	21.2583948990849	5.14294181597219
"RP11-34P13.16"	31.591078367401	6.86120413753083	9.07956978183431	0.890832312383479	1.53688179190945	49.8735015433044	25.7545724843364	9.39392103135016	5.12898240891777	12.2722503645978	63.0499382436762	3.1195376278428	24.9576026716337	24.6149835673615	41.1435345277775
"RP11-34P13.14"	0.987221198981281	0.762356015281203	0.907956978183431	0	0	1.48876124009864	2.86161916492627	0	0.854830401486296	0	0	0	0	0	0
"RNU6-1100P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.9"	0	0	0	0	0	0	0	0	0	1.02268753038315	0	0	0	0	0
"MIR6859-2"	6.91054839286896	0.762356015281203	6.35569884728402	3.56332924953392	0	9.67694806064115	1.43080958246314	3.41597128412733	9.40313441634925	5.11343765191576	5.56322984503025	0	4.53774594029704	4.47545155770209	8.81647168452375
"RP4-669L17.1"	1.97444239796256	11.435340229218	7.26365582546745	9.79915543621827	19.9794632948228	2.23314186014796	5.72323832985254	1.70798564206367	2.56449120445889	3.06806259114946	3.70881989668683	3.1195376278428	1.51258198009901	5.59431444712761	4.40823584226187
"WBP1LP7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CICP7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP4-669L17.8"	0.987221198981281	2.28706804584361	0.907956978183431	0.890832312383479	0	0	0	2.5619784630955	0	2.0453750607663	0	0	2.26887297014852	1.11886288942552	1.46941194742062
"U6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP5-857K21.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MTND1P23"	4254.92336760932	2168.14050745974	2918.17372788155	6889.69710397383	4841.17764451476	1153.0455804564	17503.0936222715	1455.20376703824	119.676256208081	3029.2004649949	9917.38440374059	5629.7255723803	1290.98872001451	8577.20291033605	1426.79900094543
"MTND2P28"	43960.9599906364	15522.3308271406	19217.8174002305	57080.0804159714	20924.6455968471	20131.7738692338	234717.157955165	9711.60636077401	1483.98557698021	27684.1514474719	63077.7543929013	31792.2478112219	9141.28919672838	47001.1922589873	14669.8741770738
"RP5-857K21.6"	46415.1918913039	26276.1247786972	21539.4633934455	33228.0452519038	47624.89296769	15445.8978660234	73931.3619354527	16034.5692076937	5578.62320009957	30193.8266470322	89547.6019955553	46801.3831846495	16413.7833570444	65410.9622415949	19428.5647687955
"MIR6723"	21.7188663775882	9.91062819865564	8.17161280365088	16.0349816229026	10.7581725433661	3.7219031002466	25.7545724843364	11.1019066734138	0.854830401486296	14.3176254253641	9.27204974171709	7.27892113163319	14.3695288109406	24.6149835673615	1.46941194742062
"RP5-857K21.7"	19126.4235090633	11282.1066701465	23768.4977748859	30231.2853530458	36179.7342633403	10848.6031565988	55768.6650956657	7658.60761901348	3193.6463799528	12048.2817954439	34369.6339825969	28342.0391948277	6197.8046634557	28856.5927811736	8594.59048046323
