"Gene"	"SK_MEL_1316A_T"	"SK_MEL_1313A_T"	"SK_MEL_1306A_T"	"SK_MEL_1331A_T"	"SK_MEL_1313B_T"	"SK_MEL_1306B_T"	"SK_MEL_1331B_T"	"SK_MEL_1299A_T"	"SK_MEL_1058B_T"	"SK_MEL_1327A_T"	"SK_MEL_1330A_T"	"SK_MEL_1328A_T"	"SK_MEL_1299B_T"	"SK_MEL_1330B_T"	"SK_MEL_1327B_T"
"DDX11L1"	0.128282133858399	0.828861799656183	0.403277531519246	0.293048736192058	0.565436945059239	0.4561213337467	0.141949652147073	0.152347789302829	1.32856359405905	0.300445281706649	0.296405572905814	0.426855303684297	0.375184482836392	0.303214931474658	0.57751306151161
"WASH7P"	0.426764134508686	1.20348088297148	1.02139377421854	0.757109769924862	0.394078272167561	1.34274157252301	0.3695279800445	2.22905698657269	14.5486779701769	1.31877789103941	0.404359972901312	0.806147776009296	1.917121712406	0.914382840099421	1.6254591930017
"MIR6859-3"	21.2288066515965	83.5322046035856	85.0985362704833	31.1225923280627	9.29678120667694	114.439501103713	18.3611232746121	129.038577539496	419.728407223096	51.6438929375931	21.3608163238962	24.6508937877681	120.920441527981	45.3217141692416	73.37303446505
"FAM138A"	0	0.0835371185517357	0.0394490378653528	0	0	0	0.018158178921955	0.0844493308504557	0	0.0999255838765176	0	0	0.233968530158853	0.067231164125402	0.256101341937347
"OR4G4P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CICP27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.15"	0.246709481274696	0.760796327366536	0.399192912968603	0.103818311420567	0.532843811484434	1.64475540546409	0.183746340349319	0.341824046462242	1.21946300752705	0.707817248439227	0.356275572731161	0.32650190447375	0.157838372663456	1.29261930919779	0.907039719656247
"RP11-34P13.16"	5.24691995387029	2.02253953225963	2.1224693612063	0.137997931553747	0.202362715126131	19.5305052078407	1.75853011644172	4.99797307371289	6.48376458227409	3.22576673584477	6.44055912113303	0.520793530727496	13.8469825877113	3.9789486148583	19.2905630518441
"RP11-34P13.14"	0.0846662083465433	0.116040651951866	0.109596599742289	0	0	0.301040080272822	0.100893445064535	0	0.5579967095048	0	0	0	0	0	0
"RNU6-1100P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP11-34P13.9"	0	0	0	0	0	0	0	0	0	0.0706880982237587	0	0	0	0	0
"MIR6859-2"	4.79360150197341	0.938564096669501	6.20510160305607	2.30537720948612	0	15.8267395143432	0.408024961658047	7.59050456114684	49.6452954780006	5.61346662365143	2.37342403598847	0	10.5148210024332	3.02144761128277	17.2642434035412
"RP4-669L17.1"	0.241903452418695	2.48658539896855	1.2525325684833	1.11975464460755	1.94057959544331	0.645085886298905	0.288266985898672	0.670330272932448	2.39141446930629	0.594881657779164	0.27946811159691	0.384169773315867	0.619054396680047	0.667072849244248	1.52463448239065
"WBP1LP7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CICP7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP4-669L17.8"	0.0230869680667322	0.0949266612397512	0.0298850420715216	0.019430546634241	0	0	0	0.1919264911346	0	0.0756996986431923	0	0	0.177245371384595	0.0254658450132906	0.0970061602578747
"U6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RP5-857K21.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MTND1P23"	539.519480874949	487.932225223409	520.790078936679	814.80210953983	486.649690730743	344.719215575848	912.400850014721	591.07993582608	115.499318902875	607.872039499665	773.41297367716	717.526553585896	546.827223422236	1058.49756881073	510.718397602606
"MTND2P28"	1986.20923536338	1244.71938976587	1222.0755714367	2405.35417611398	749.490245277399	2144.58617530563	4359.71544903564	1405.58113388808	510.321128577762	1979.51050232808	1752.80244690998	1443.82457215943	1379.6774615319	2066.78593039371	1871.05923264834
"RP5-857K21.6"	1418.90249409695	1425.64175823313	926.751830607569	947.400964701978	1154.18774584401	1113.29226056824	929.130220337421	1570.20630711703	1298.00232626415	1460.76153267331	1683.62466680095	1438.0912865844	1676.15196529216	1946.12948429282	1676.62693747572
"MIR6723"	11.5107991122829	9.32236698264987	6.0955412216217	7.92635310227814	4.52019188394098	4.6509001165745	5.61148936033089	18.8483315507129	3.44829427222068	12.0090342150925	3.02233772373063	3.87766868571633	25.4403534365986	12.6968697373006	2.19844298022622
"RP5-857K21.7"	1322.84122621446	1384.90774857714	2313.72563552713	1950.14630011592	1983.76110294241	1769.0960201194	1585.69508398403	1696.80053280675	1681.1900860564	1318.76628150737	1462.00136541774	1970.33654275486	1431.93772038512	1942.44082232272	1678.04058098173
