"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HML2_3q13.2",2.76744622701299,5.24092862411037,0.40657856479568,185.920414290013,2.47096283755821e-42,9.3007041205691e-39
"ERV316A3_19q13.2",12.5676929998634,4.04362123600188,0.311358799292105,179.551732467166,6.07149952104674e-41,1.142656209861e-37
"HML2_11q23.3",8.36553107253407,6.02812848602397,0.46909357729687,178.134823092334,1.23787157541269e-40,1.55311620328445e-37
"HML2_19q11",20.85058670565,8.14246937505763,0.59226964423753,174.728615576928,6.86230973399572e-40,6.45743345968997e-37
"HERVL_3q21.2",31.8078644469684,5.19624068650303,0.40222389882076,170.217720689414,6.63153844132642e-39,4.99222213863053e-36
"HERVIP10FH_17q21.32",6.56346758057145,2.41379844927692,0.198984404775727,162.253255096816,3.64216877774957e-37,2.28485387990823e-34
"HML2_3q27.2",8.15199325149,5.17339808615199,0.426737017638399,159.791801555966,1.25642731117009e-36,6.75598914177746e-34
"HML3_7q36.3",183.126779975718,13.3280964444682,0.774652848286862,148.766942863486,3.22465951730872e-34,1.51720230289375e-31
"HERVS71_11q13.2",29.1153579650573,6.74257669902681,0.546576586139968,142.469087321001,7.67916310982824e-33,3.21159666059928e-30
"ERVLE_1p34.3c",2.95393070188736,4.6291517305408,0.414644591898213,141.240682821181,1.42532313272945e-32,5.36491627159364e-30
"HML2_7q22.2",927.127295526044,3.95081799218568,0.349243037240551,137.642317842437,8.72598838124827e-32,2.98587456972895e-29
"HERVI_16q22.2",79.9827086691395,10.0895806256117,0.777915554813671,134.552269948531,4.13685734386072e-31,1.11222364587798e-28
"ERVLE_17p11.2c",231.320369039061,-2.44716979754391,0.185774075474165,133.056589768518,8.78710251200514e-31,2.20497692367916e-28
"LTR46_1p36.13",4.42857422209847,5.96682278334131,0.553639809418833,128.146536624629,1.04254405842889e-29,2.21869677646014e-27
"HERVL_21q22.2",10.6717051458053,4.28755486135083,0.394351893893179,128.111683564651,1.06101333624555e-29,2.21869677646014e-27
"PRIMA4_12p11.21a",7.24419270506719,2.74066686828544,0.261743342999207,121.667029259859,2.73020270686198e-28,5.40867525717289e-26
"MER4_11p15.4a",4.74894655576482,2.39165951023166,0.239080391697902,110.93619887132,6.1105968817223e-26,1.15001433314014e-23
"HML3_1p21.3",7.02104858130562,3.32438611264505,0.338636144476224,107.591839508059,3.3024218718053e-25,5.91919805975007e-23
"HERVE_6q15",5.95585366547783,6.22860846047279,0.625467132698407,107.171822907217,4.0819927208881e-25,6.98391845519219e-23
"MER34B_1q23.3a",3.71145417684794,4.09758790512814,0.415045063987602,106.9418194511,4.58432112907534e-25,7.50234118688678e-23
"ERVLE_2q22.3b",29.5988161216045,2.82755734825605,0.289133044099238,106.233608370748,6.55357158901129e-25,1.02781847754327e-22
"HERVW_2p16.2",9.63557643711158,2.38916275686679,0.24622313219628,105.273173404162,1.06407028020673e-24,1.60206421387925e-22
"HML2_6q14.1",2.65615110095649,5.03547942520123,0.518079419392703,104.409852126898,1.64510519573629e-24,2.38160613721207e-22
"HERVH_5q23.2a",16.3364890084504,7.48038304115996,0.71602414428329,101.916478601862,5.79127566055031e-24,8.07346725418939e-22
"ERV316A3_1q32.2a",26.3853385421772,8.67409528053254,0.824314095881125,101.745628682255,6.31293508634913e-24,8.48638845179219e-22
"MER4_4p12a",10.3564591998641,4.16252691316789,0.43021371971506,101.553573700773,6.95565616443652e-24,9.02796200101347e-22
"HUERSP3_11q13.4",11.552277366629,2.1522805886956,0.225270159658603,101.463818337007,7.27807674257038e-24,9.13156028634496e-22
"HML2_11q22.1",6.18115352852818,5.97520637863857,0.610046431814043,100.628091966392,1.10982468699524e-23,1.34754197479035e-21
