sample_id	file_name	md5sum	file_size	object_id
GTEX-111YS-0006-SM-5NQBE	GTEX-111YS-0006-SM-5NQBE.Aligned.sortedByCoord.out.patched.md.bam	9cc1be8467279f5d803e7ac569cdd24b	7879676209	dg.ANV0/233eac9e-6595-456c-9be1-8d0758b6bdab
GTEX-1122O-0005-SM-5O99J	GTEX-1122O-0005-SM-5O99J.Aligned.sortedByCoord.out.patched.md.bam	a866593434f675de664bb7813a8efd8a	6870601659	dg.ANV0/068ca5b2-f87c-48da-8caa-d0078eea5118
GTEX-1128S-0005-SM-5P9HI	GTEX-1128S-0005-SM-5P9HI.Aligned.sortedByCoord.out.patched.md.bam	90d24b38cb0ee76a8e16eef05c47a515	13105390453	dg.ANV0/71034a17-2367-4bc5-81cf-b30f943875a5
GTEX-113IC-0006-SM-5NQ9C	GTEX-113IC-0006-SM-5NQ9C.Aligned.sortedByCoord.out.patched.md.bam	c7005a5b1872a722e9d254d6c50bee78	5567453920	dg.ANV0/52a52b7c-4e72-4b24-a1df-528472e4aa40
GTEX-113JC-0006-SM-5O997	GTEX-113JC-0006-SM-5O997.Aligned.sortedByCoord.out.patched.md.bam	907af7f9d5569d6c17ada3f59d43a405	9311805204	dg.ANV0/da6f9da6-06cd-40d6-97aa-392f364acb6a
GTEX-117XS-0005-SM-5PNU6	GTEX-117XS-0005-SM-5PNU6.Aligned.sortedByCoord.out.patched.md.bam	8f613c2fd4fa77c06bc1b0808b45828e	7137772565	dg.ANV0/b945d889-7bb9-4c62-8304-bae758f0abc3
GTEX-117YW-0005-SM-5NQ8Z	GTEX-117YW-0005-SM-5NQ8Z.Aligned.sortedByCoord.out.patched.md.bam	40451f743c257383c972f972280b9dc4	7835072134	dg.ANV0/733d3090-43aa-4bde-be41-ed4db0e46987
GTEX-1192W-0005-SM-5NQBQ	GTEX-1192W-0005-SM-5NQBQ.Aligned.sortedByCoord.out.patched.md.bam	11f9ff854af49b24f77a6e5141ea8197	9903048986	dg.ANV0/b5564bce-792e-40df-977f-df2e60229836
GTEX-1192X-0005-SM-5NQC3	GTEX-1192X-0005-SM-5NQC3.Aligned.sortedByCoord.out.patched.md.bam	eaecf2b2a64ee5015b538a7c6dad687a	11789237203	dg.ANV0/a0ed750d-5fb4-4d02-b338-4a3d3980c919
GTEX-11DXW-0006-SM-5NQ7Y	GTEX-11DXW-0006-SM-5NQ7Y.Aligned.sortedByCoord.out.patched.md.bam	8435560ab79037c3bf34574856c22786	6818016854	dg.ANV0/a91f9be0-a6c5-4dc6-9182-0e4fc83f5f92
