SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMUBRID	SMTSISCH	SMTSPAX	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SMAFRZE	SMGTC	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-111YS-0006-SM-5NQBE		B1		8.2	Blood	Whole Blood	0013756	-121		BP-38780	RNA isolation_PAXgene Blood RNA (Manual)	05/08/2013	LCSET-4907	03/21/2014	TruSeq.v1	RNASEQ		0.981573	565100	0.965938		0.985108	0.810071		18229	1		76		0.00271236	128	0	7.95187e+07	0.0329545	224915	8.07207e+07	1.11543e+07		18237	3.95001e+07			0	0.155867	0.985108	0.798007	7.95187e+07	0.00586091	1.77504e+07	6.93421e+07	1.80237e+07	148	1.80815e+07	1.79407e+07	0.00428098	1.79763e+07	49.8542	0.00278633	0.988644		0	50.382
GTEX-1122O-0005-SM-5O99J		B1		7.6	Blood	Whole Blood	0013756	-77		BP-38883	RNA isolation_PAXgene Blood RNA (Manual)	05/10/2013	LCSET-4909	03/20/2014	TruSeq.v1	RNASEQ		0.986466	912057	0.944916		0.990744	0.777156		18928	1		76		0.00230212	124	0	7.1748e+07	0.0545957	207142	7.24183e+07	1.04949e+07		18944	3.56203e+07			0	0.16776	0.990744	0.769962	7.1748e+07	0.00416304	1.53565e+07	4.43056e+07	1.55623e+07	142	1.56396e+07	1.38583e+07	0.00322856	1.56031e+07	49.9416	0.00286035	0.995023		0	50.3328
GTEX-1128S-0005-SM-5P9HI		B1		6.7	Blood	Whole Blood	0013756	783		BP-38883	RNA isolation_PAXgene Blood RNA (Manual)	05/10/2013	LCSET-4916	03/27/2014	TruSeq.v1	RNASEQ		0.973177	1.38113e+06	0.946127		0.973843	0.709849		20836	1		76		0.00365126	143	0	1.13818e+08	0.0529809	273590	1.16875e+08	4.1737e+06		20867	5.66273e+07			0	0.236279	0.973843	0.691281	1.13818e+08	0.00430654	2.51302e+07	1.52046e+08	2.57111e+07	169	2.56061e+07	2.37105e+07	0.00397868	2.53583e+07	49.7569	0.00234088	0.974509		0	50.5713
GTEX-113IC-0006-SM-5NQ9C		B1		8.6	Blood	Whole Blood	0013756	-351		BP-38883	RNA isolation_PAXgene Blood RNA (Manual)	05/10/2013	LCSET-4906	03/22/2014	TruSeq.v1	RNASEQ		0.990953	494848	0.954345		0.992398	0.75565		20349	1		76		0.00238642	114	0	6.55132e+07	0.0451442	84043	6.60151e+07	4.87755e+06		20363	3.26131e+07			0	0.198695	0.992398	0.749905	6.55132e+07	0.00341612	1.43244e+07	3.86714e+07	1.44999e+07	125	1.44964e+07	1.27611e+07	0.00290052	1.44299e+07	49.8851	0.00127309	0.993843		0	50.3045
GTEX-113JC-0006-SM-5O997		B1		7.6	Blood	Whole Blood	0013756	587		BP-38943	RNA isolation_PAXgene Blood RNA (Manual)	05/14/2013	LCSET-4909	03/20/2014	TruSeq.v1	RNASEQ		0.958802	385976	0.981747		0.962992	0.784795		18233	1		76		0.00239205	100	0	8.49315e+07	0.0170281	162448	8.81955e+07	1.32966e+07		18239	4.21538e+07			0	0.196953	0.962992	0.755751	8.49315e+07	0.00437273	1.98001e+07	1.30756e+08	2.00872e+07	135	2.01027e+07	2.19739e+07	0.00337808	2.01443e+07	50.0516	0.00184191	0.967181		0	50.3599
GTEX-117XS-0005-SM-5PNU6		B1		6.4	Blood	Whole Blood	0013756	802		BP-38943	RNA isolation_PAXgene Blood RNA (Manual)	05/14/2013	LCSET-4917	03/27/2014	TruSeq.v1	RNASEQ		0.960674	371056	0.978298		0.962396	0.807746		16519	1		76		0.00234312	95	0	6.4754e+07	0.0200178	230282	6.72841e+07	7.02284e+06		16521	3.21941e+07			0	0.170553	0.962396	0.777371	6.4754e+07	0.00406583	1.52079e+07	1.10752e+08	1.53347e+07	113	1.53068e+07	1.68621e+07	0.00320293	1.5368e+07	50.0999	0.00342253	0.964118		0	50.2075
GTEX-117YW-0005-SM-5NQ8Z		B1		8.5	Blood	Whole Blood	0013756	771		BP-38943	RNA isolation_PAXgene Blood RNA (Manual)	05/14/2013	LCSET-4906	03/22/2014	TruSeq.v1	RNASEQ		0.976598	363381	0.978813		0.978503	0.780731		18582	1		76		0.00247853	109	0	7.83408e+07	0.0199449	202166	8.00619e+07	7.28288e+06		18593	3.89748e+07			0	0.198082	0.978503	0.763948	7.83408e+07	0.0037221	1.79832e+07	1.05671e+08	1.8467e+07	133	1.84596e+07	1.87715e+07	0.0030991	1.81456e+07	49.5711	0.00252512	0.980408		0	50.6636
GTEX-1192W-0005-SM-5NQBQ		B1		8	Blood	Whole Blood	0013756	645		BP-39103	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2013	LCSET-4907	03/21/2014	TruSeq.v1	RNASEQ		0.955354	451704	0.977321		0.958825	0.78972		18463	1		76		0.00264578	105	0	8.4174e+07	0.0215172	219172	8.77887e+07	1.37106e+07		18474	4.18188e+07			0	0.187601	0.958825	0.757203	8.4174e+07	0.00611466	1.94671e+07	1.34446e+08	1.97489e+07	136	1.97805e+07	2.16988e+07	0.00437395	1.97433e+07	49.9529	0.00249659	0.962296		0	50.3593
GTEX-1192X-0005-SM-5NQC3		B1		8.3	Blood	Whole Blood	0013756	757		BP-39103	RNA isolation_PAXgene Blood RNA (Manual)	05/17/2013	LCSET-4907	03/21/2014	TruSeq.v1	RNASEQ		0.943029	266960	0.987234		0.945071	0.822573		14522	1		76		0.0026588	96	0	9.97216e+07	0.00926193	54377	1.05518e+08	1.44989e+07		14522	4.95169e+07			0	0.164661	0.945071	0.77739	9.97216e+07	0.00571526	2.41171e+07	2.15338e+08	2.45127e+07	150	2.44589e+07	3.14148e+07	0.00418373	2.44042e+07	49.9439	0.000515336	0.947114		0	50.4068
GTEX-11DXW-0006-SM-5NQ7Y		C1		8.5	Blood	Whole Blood	0013756	1076		BP-39145	RNA isolation_PAXgene Blood RNA (Manual)	05/20/2013	LCSET-4906	03/22/2014	TruSeq.v1	RNASEQ		0.988585	841985	0.959728		0.990252	0.765478		20098	1		76		0.00240676	127	0	7.49335e+07	0.0397575	202834	7.56712e+07	5.84773e+06		20110	3.72996e+07			0	0.19425	0.990252	0.758016	7.49335e+07	0.00358549	1.65616e+07	5.89506e+07	1.68886e+07	141	1.68857e+07	1.55353e+07	0.00299513	1.67122e+07	49.7419	0.00268047	0.991919		0	50.4888
